"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"210","pierce county","WI",32.82,34,31.5,6.2,"metro"
"211","jackson county","AL",102.12,74.3,138.6,11.9,"non-metro"
"212","trempealeau county","WI",25.55,32.9,14.1,8.2,"non-metro"
"213","bertie county","NC",41.86,-1,25,13.6,"non-metro"
"214","grayson county","VA",58.83,85.8,19.8,11.4,"non-metro"
"215","essex county","MA",190.65,279.3,39.4,3.5,"metro"
"216","greene county","MO",94.8,222.7,97.7,13,"metro"
"217","spotsylvania county","VA",56.2,133.2,54.5,10.2,"metro"
"218","palm beach county","FL",53.69,628.1,53.4,16,"metro"
"219","pulaski county","VA",65.33,70.1,111,9.6,"metro"
"220","kitsap county","WA",7.35,133.1,56.8,7.7,"metro"
"221","wright county","MN",25.36,41.7,46.6,4.2,"metro"
"222","harlan county","NE",266.2,-1,82.4,10.9,"non-metro"
"223","phelps county","MO",104.86,34.2,80.8,10.3,"non-metro"
"224","dekalb county","AL",96.53,88.3,103.2,16,"non-metro"
"225","cottonwood county","MN",59.67,95.6,77.8,5.3,"non-metro"
"226","marshall county","KY",99.25,-1,101.5,7.2,"non-metro"
"227","polk county","TN",61.89,89.7,111.9,10.8,"metro"
"228","greene county","IL",44.8,53.6,2.3,8.4,"non-metro"
"229","jackson county","WI",36.25,63.8,22.9,10.1,"non-metro"
"230","ketchikan gateway borough","AK",227,-1,77.4,15.5,"non-metro"
"231","simpson county","KY",23,-1,90.1,11.5,"non-metro"
"232","reno county","KS",202.77,60.5,97.5,10.8,"non-metro"
"233","cherokee county","NC",30.67,-1,117.5,18.4,"non-metro"
"234","twin falls county","ID",173.12,22.6,91.9,15,"non-metro"
"235","noble county","OK",177.83,116.1,6.6,10.2,"non-metro"
"236","meeker county","MN",55.17,52.4,26,6.2,"non-metro"
"237","york county","ME",238.06,129.7,52.9,8.7,"metro"
"238","scotland county","NC",31.4,-1,168.3,13.5,"non-metro"
"239","stone county","AR",107.57,64.9,154.1,11.7,"non-metro"
"240","pawnee county","KS",262,-1,45.9,7.9,"non-metro"
"241","scott county","VA",30,51.9,136.1,11.5,"metro"
"242","giles county","VA",54.22,89.9,98.1,13.6,"metro"
"243","marshall county","AL",115.78,115.4,163.9,15.4,"non-metro"
"244","glynn county","GA",244.57,424.2,93.7,16.3,"metro"
"245","charles county","MD",25.71,342.5,71.3,4.4,"metro"
"246","butler county","PA",32.19,14.4,57,5.1,"metro"
"247","hardin county","TX",192,118.6,90.4,17.6,"metro"
"248","macon county","AL",123.67,496.6,44.6,10.8,"non-metro"
"249","elk county","KS",146.2,-1,3,11.6,"non-metro"
"250","knox county","TN",51.62,227.1,84.7,9.9,"metro"
"251","tarrant county","TX",286.62,320.7,61,18.2,"metro"
"252","worcester county","MD",97.5,194.7,63,7.8,"metro"
"253","pearl river county","MS",55.33,219.4,113.5,15.9,"non-metro"
"254","davie county","NC",21,-1,88.3,13,"metro"
"255","pend oreille county","WA",63.5,87.9,102.4,10.8,"metro"
"256","dewitt county","TX",388.5,46.5,44,14.8,"non-metro"
"257","upshur county","TX",229.4,114.9,18.2,17,"metro"
"258","owsley county","KY",21,-1,229.3,9.8,"non-metro"
"259","benton county","WA",24.5,65.4,89.8,10.4,"metro"
"260","greenup county","KY",8.29,-1,60,9.6,"metro"
"261","hardin county","KY",36.25,162.6,80.9,8.4,"metro"
"262","district of columbia","DC",1.38,479.8,28.5,5.2,"metro"
"263","los angeles county","CA",7.99,565.2,29.8,15.9,"metro"
"264","wichita county","TX",270.36,122.3,98.7,16.4,"metro"
"265","morgan county","GA",52.25,202.6,77.4,13.4,"metro"
"266","perry county","TN",70.5,120.4,100.9,16.9,"non-metro"
"267","washington county","UT",121.55,69.4,79.7,15.4,"metro"
